,fluxes,minimum,maximum
RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p_me_4,0.0,,
RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p_gc_1,0.0,,
RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p_gc_2,0.0,,
RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p_gc_3,0.0,,
RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p_gc_4,0.0,,
IGPSYN_RXN_p_me_1,0.0,,
IGPSYN_RXN_p_me_2,0.014961706795731182,,
IGPSYN_RXN_p_me_3,0.001662411866192356,,
IGPSYN_RXN_p_me_4,0.0,,
IGPSYN_RXN_p_gc_1,0.0,,
IGPSYN_RXN_p_gc_2,0.0,,
IGPSYN_RXN_p_gc_3,0.0,,
IGPSYN_RXN_p_gc_4,0.0,,
5_METHYL_THF_pc_me_1,0.0,,
5_METHYL_THF_pc_me_2,0.0,,
5_METHYL_THF_pc_me_3,0.0,,
5_METHYL_THF_pc_me_4,0.0,,
5_METHYL_THF_pc_gc_1,0.0,,
5_METHYL_THF_pc_gc_2,0.0,,
5_METHYL_THF_pc_gc_3,0.0,,
5_METHYL_THF_pc_gc_4,0.0,,
ASN_PROTON_vc_me_1,0.0,,
ASN_PROTON_vc_me_2,0.0,,
ASN_PROTON_vc_me_3,0.0,,
ASN_PROTON_vc_me_4,0.0,,
ASN_PROTON_vc_gc_1,0.0,,
ASN_PROTON_vc_gc_2,0.0,,
ASN_PROTON_vc_gc_3,0.0,,
ASN_PROTON_vc_gc_4,0.0,,
WATER_vc_me_1,0.0,,
WATER_vc_me_2,0.0,,
WATER_vc_me_3,0.0,,
WATER_vc_me_4,0.0,,
WATER_vc_gc_1,0.0,,
WATER_vc_gc_2,-0.0054131015518183384,,
WATER_vc_gc_3,0.0,,
WATER_vc_gc_4,0.0,,
RXN_9652_p_me_1,5.557691447681607e-20,,
RXN_9652_p_me_2,0.0,,
RXN_9652_p_me_3,0.0,,
RXN_9652_p_me_4,-6.483973355628543e-20,,
RXN_9652_p_gc_1,0.0,,
RXN_9652_p_gc_2,0.0,,
RXN_9652_p_gc_3,0.0,,
RXN_9652_p_gc_4,0.0,,
FUMHYDR_RXN_m_me_1,0.35647499027157226,,
FUMHYDR_RXN_m_me_2,0.0,,
FUMHYDR_RXN_m_me_3,0.0,,
FUMHYDR_RXN_m_me_4,0.29126968481883037,,
FUMHYDR_RXN_m_gc_1,0.0005631223603809977,,
FUMHYDR_RXN_m_gc_2,0.002972619173022968,,
FUMHYDR_RXN_m_gc_3,0.00047054862326948,,
FUMHYDR_RXN_m_gc_4,0.0005631223603809976,,
RXN0_884_p_me_1,0.0,,
RXN0_884_p_me_2,0.0,,
RXN0_884_p_me_3,0.0,,
RXN0_884_p_me_4,0.0,,
RXN0_884_p_gc_1,0.0,,
RXN0_884_p_gc_2,0.0,,
RXN0_884_p_gc_3,0.0,,
RXN0_884_p_gc_4,0.0,,
HS_pc_me_1,0.0005541372887307853,,
HS_pc_me_2,0.0,,
HS_pc_me_3,0.0,,
HS_pc_me_4,0.003878961021115505,,
HS_pc_gc_1,0.0,,
HS_pc_gc_2,0.0,,
HS_pc_gc_3,0.0,,
HS_pc_gc_4,0.0,,
FUMHYDR_RXN_c_me_1,0.0,,
FUMHYDR_RXN_c_me_2,0.0033248237323847117,,
FUMHYDR_RXN_c_me_3,0.004481284161040261,,
FUMHYDR_RXN_c_me_4,0.0,,
FUMHYDR_RXN_c_gc_1,0.0,,
FUMHYDR_RXN_c_gc_2,0.0,,
FUMHYDR_RXN_c_gc_3,0.0,,
FUMHYDR_RXN_c_gc_4,0.0,,
GLUTAMINE_TRNA_LIGASE_RXN_c_me_1,0.0,,
GLUTAMINE_TRNA_LIGASE_RXN_c_me_2,0.0,,
GLUTAMINE_TRNA_LIGASE_RXN_c_me_3,0.0,,
GLUTAMINE_TRNA_LIGASE_RXN_c_me_4,0.0,,
GLUTAMINE_TRNA_LIGASE_RXN_c_gc_1,0.0,,
GLUTAMINE_TRNA_LIGASE_RXN_c_gc_2,0.0,,
GLUTAMINE_TRNA_LIGASE_RXN_c_gc_3,0.0,,
GLUTAMINE_TRNA_LIGASE_RXN_c_gc_4,0.0,,
ALANINE_AMINOTRANSFERASE_RXN_m_me_1,0.0,,
ALANINE_AMINOTRANSFERASE_RXN_m_me_2,0.0,,
ALANINE_AMINOTRANSFERASE_RXN_m_me_3,0.0,,
ALANINE_AMINOTRANSFERASE_RXN_m_me_4,0.0,,
ALANINE_AMINOTRANSFERASE_RXN_m_gc_1,0.0,,
ALANINE_AMINOTRANSFERASE_RXN_m_gc_2,0.0,,
ALANINE_AMINOTRANSFERASE_RXN_m_gc_3,0.0,,
ALANINE_AMINOTRANSFERASE_RXN_m_gc_4,0.0,,
Nitrate_ec_me_1,0.019829130951172915,,
Nitrate_ec_me_2,0.2512488634134158,,
Nitrate_ec_me_3,0.31344768724085764,,
Nitrate_ec_me_4,0.013179483486405776,,
Nitrate_ec_gc_1,0.0,,
Nitrate_ec_gc_2,0.0,,
Nitrate_ec_gc_3,0.0,,
Nitrate_ec_gc_4,0.0,,
GLYCOGENSYN_RXN_p_me_1,0.0,,
GLYCOGENSYN_RXN_p_me_2,0.0,,
GLYCOGENSYN_RXN_p_me_3,0.191441102084414,,
GLYCOGENSYN_RXN_p_me_4,0.0,,
